algorithm;timed out;problem instance;filename;max degree;number of colors;number of disconnected components;number of nodes;number of uncontrollable nodes;target density;target unary tightness;true average density;true average unary tightness;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
DPOP;0;graphColoring_1578338474036;GraphColoring.xml;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;114;72;19638;730;3;0;0
DPOP;0;graphColoring_1578338475711;GraphColoring.xml;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;108;88;25156;730;3;0;0
DPOP;0;graphColoring_1578338477283;GraphColoring.xml;5;3;1;10;0;0.4;0.0;0.4;0.0;0;99;108;32182;1353;4;infinity;infinity
DPOP;0;graphColoring_1578338478917;GraphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;83;8;1903;417;1;0;0
DPOP;0;graphColoring_1578338480117;GraphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;80;16;3810;417;1;0;0
DPOP;0;graphColoring_1578338481507;GraphColoring.xml;3;3;1;5;0;0.4;0.0;0.4;0.0;0;79;32;7621;417;1;0;0
DPOP;0;graphColoring_1578338482986;GraphColoring.xml;4;3;2;6;0;0.4;0.0;0.4;0.0;0;69;40;10522;477;2;0;0
DPOP;0;graphColoring_1578338484455;GraphColoring.xml;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;88;56;14324;477;2;0;0
DPOP;0;graphColoring_1578338485935;GraphColoring.xml;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;102;72;19137;477;2;0;0
DPOP;0;graphColoring_1578338487495;GraphColoring.xml;4;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;109;97;25573;728;3;0;0
DPOP;0;graphColoring_1578338489017;GraphColoring.xml;7;3;1;10;0;0.4;0.0;0.4;0.0;0;93;108;30482;682;3;infinity;infinity
DPOP;0;graphColoring_1578338490659;GraphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;75;8;1903;417;1;0;0
DPOP;0;graphColoring_1578338491878;GraphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;62;16;3810;417;1;0;0
DPOP;0;graphColoring_1578338493314;GraphColoring.xml;3;3;1;5;0;0.4;0.0;0.4;0.0;0;81;32;7621;417;1;0;0
DPOP;0;graphColoring_1578338494734;GraphColoring.xml;3;3;1;6;0;0.4;0.0;0.4;0.0;0;100;44;11091;477;2;0;0
DPOP;0;graphColoring_1578338496270;GraphColoring.xml;3;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;114;59;14585;477;2;0;0
DPOP;0;graphColoring_1578338497750;GraphColoring.xml;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;142;72;20072;730;3;0;0
DPOP;0;graphColoring_1578338499419;GraphColoring.xml;6;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;111;88;24075;682;3;infinity;infinity
DPOP;0;graphColoring_1578338501035;GraphColoring.xml;5;3;1;10;0;0.4;0.0;0.4;0.0;0;98;108;33340;1451;4;infinity;infinity
DPOP;0;graphColoring_1578338502677;GraphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;85;8;1901;417;1;0;0
DPOP;0;graphColoring_1578338503902;GraphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;57;16;3812;417;1;0;0
DPOP;0;graphColoring_1578338505094;GraphColoring.xml;3;3;2;5;0;0.4;0.0;0.4;0.0;0;83;28;7167;475;2;0;0
DPOP;0;graphColoring_1578338506396;GraphColoring.xml;3;3;1;6;0;0.4;0.0;0.4;0.0;0;71;44;11089;477;2;0;0
DPOP;0;graphColoring_1578338507903;GraphColoring.xml;3;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;83;57;14603;477;2;0;0
DPOP;0;graphColoring_1578338509442;GraphColoring.xml;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;129;72;19142;477;2;0;0
DPOP;0;graphColoring_1578338511074;GraphColoring.xml;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;133;88;24420;682;3;infinity;infinity
DPOP;0;graphColoring_1578338512827;GraphColoring.xml;6;3;1;10;0;0.4;0.0;0.4;0.0;0;129;108;31137;1019;4;0;0
DPOP;1;scen02;../../../src/scen02Output.xml;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;10;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;10;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;10;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;10;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;10;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;10;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;10;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;10;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;1;scen02;../../../src/scen02Output.xml;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
